group_id,cx,cy,radius,z_index,shape,rotation
1,183,106,21.875,5,circleShape,0
1,141,169,21.875,7,circleShape,0
1,341,107,21.875,9,circleShape,0
1,398,152,21.875,11,circleShape,0
1,133,107,14.84375,13,circleShape,0
1,342,153,14.84375,15,circleShape,0
1,157,86,7.8125,17,circleShape,0
1,168,95,7.8125,19,circleShape,0
1,148,96,7.8125,21,circleShape,0
1,151,108,7.8125,23,circleShape,0
1,155,101,7.8125,25,circleShape,0
1,163,108,7.8125,27,circleShape,0
1,399,105,7.8125,29,circleShape,0
1,401,115,7.8125,31,circleShape,0
1,411,113,7.8125,33,circleShape,0
1,408,125,7.8125,35,circleShape,0
1,149,163,7.8125,37,circleShape,0
1,139,171,7.8125,39,circleShape,0
1,149,180,7.8125,41,circleShape,0
1,142,197,10.15625,43,circleShape,0
1,142,215,10.15625,45,circleShape,0
1,142,234,10.15625,47,circleShape,0
1,142,255,10.15625,49,circleShape,0
1,142,275,10.15625,51,circleShape,0
1,142,295,10.15625,53,circleShape,0
1,142,315,10.15625,55,circleShape,0
1,388,188,10.15625,57,circleShape,0
1,389,208,10.15625,59,circleShape,0
1,390,228,10.15625,61,circleShape,0
1,391,248,10.15625,63,circleShape,0
1,391,268,10.15625,65,circleShape,0
1,391,288,10.15625,67,circleShape,0
1,391,307,10.15625,69,circleShape,0
2,146,126,14.84375,71,circleShape,0
2,353,136,14.84375,73,circleShape,0
2,375,173,14.84375,75,circleShape,0
2,173,164,10.15625,77,circleShape,0
2,190,175,10.15625,79,circleShape,0
2,205,187,10.15625,81,circleShape,0
2,223,194,10.15625,83,circleShape,0
2,240,199,10.15625,85,circleShape,0
2,262,197,10.15625,87,circleShape,0
2,280,195,10.15625,89,circleShape,0
2,301,190,10.15625,91,circleShape,0
2,319,184,10.15625,93,circleShape,0
2,334,172,10.15625,95,circleShape,0
2,384,106,12.5,97,circleShape,0
3,163,150,12.5,99,circleShape,0
3,375,142,12.5,101,circleShape,0
3,386,128,12.5,103,circleShape,0
3,366,120,12.5,105,circleShape,0
3,121,118,7.8125,107,circleShape,0
3,131,125,7.8125,109,circleShape,0
3,149,134,7.8125,111,circleShape,0
3,162,128,7.8125,113,circleShape,0
3,141,154,7.8125,115,circleShape,0
3,131,147,7.8125,117,circleShape,0
3,138,141,7.8125,119,circleShape,0
3,148,151,7.8125,121,circleShape,0
3,157,135,7.8125,123,circleShape,0
3,382,88,7.8125,125,circleShape,0
3,393,92,7.8125,127,circleShape,0
3,371,94,7.8125,129,circleShape,0
3,365,99,7.8125,131,circleShape,0
3,355,154,7.8125,133,circleShape,0
3,351,161,7.8125,135,circleShape,0
3,351,171,7.8125,137,circleShape,0
3,361,169,7.8125,139,circleShape,0
3,365,157,7.8125,141,circleShape,0
3,174,130,7.8125,143,circleShape,0
3,184,133,9.375,145,circleShape,0
3,200,140,9.375,147,circleShape,0
3,215,149,9.375,149,circleShape,0
3,229,153,9.375,151,circleShape,0
3,245,159,9.375,153,circleShape,0
3,260,161,9.375,155,circleShape,0
3,277,157,9.375,157,circleShape,0
3,293,154,9.375,159,circleShape,0
3,306,148,9.375,161,circleShape,0
3,321,137,9.375,163,circleShape,0
3,334,130,9.375,165,circleShape,0
1,110,140,48,199,image(assets/silverstar.png),0
1,347,110,48,201,image(assets/silverstar.png),0
1,408,170,48,203,image(assets/silverstar.png),0
